新北市八里區中山路二段
新北市泰山區公園路
新北市坪林區石嘈里北宜公路
新北市中和區中山路2段
新北市土城區明德路1段
新北市石門區淡金公路
新北市汐止區南興路
新北市中和區錦和路
新北市三重區新北大道前0公尺數重陽路
新北市板橋區臺65線道路
新北市板橋區文化路2段
新北市五股區新五路
新北市三重區國道一號
新北市三重區重陽路3段
新北市三重區自強路2段
新北市平溪區106線道路
新北市永和區環河東路2段
新北市新莊區新北大道7段
新北市汐止區大同路1段
新北市三重區集賢路
新北市板橋區環河西路5段
新北市八里區龍米路1段
新北市瑞芳區宜蘭線10公里281公尺處明燈路
新北市泰山區公園路
新北市石碇區北宜公路
新北市樹林區環河路
新北市泰山區新北大道6段
新北市三重區環河路
新北市坪林區北宜路
新北市萬里區臺2線道路
新北市五股區中興路
新北市坪林區北宜路
新北市鶯歌區鳳三路
新北市鶯歌區中正三路
新北市金山區陽金公路
新北市淡水區文化路
新北市新莊區思源路
新北市新店區新烏路3段
新北市鶯歌區龍三路
新北市蘆洲區環堤大道路
新北市新店區祥和路
新北市新莊區中原路
新北市鶯歌區中山路
新北市五股區疏洪一路
新北市中和區連城路
新北市淡水區民權路
新北市板橋區文化路2段
新北市三峽區佳興路
新北市新店區中興路3段
新北市淡水區關渡橋下機車引道前0公尺數往台北方向
新北市鶯歌區尖山路
新北市樹林區中華路
新北市泰山區大科路
新北市泰山區泰林路3段
新北市雙溪區臺2丙線道路
新北市樹林區柑園街
新北市蘆洲區中山二路
新北市新莊區中環路
臺北市萬華區華江橋往新北市機車道
新北市板橋區中山路1段
新北市五股區成泰路1段
新北市蘆洲區環堤大道路
新北市土城區擺接堡路
新北市淡水區中正路
新北市石門區臺2線道路
新北市土城區擺接堡路
新北市平溪區臺2丙線道路
新北市林口區南勢街
新北市八里區龍米路1段
新北市三峽區大埔路
新北市樹林區柑園橋路
新北市三重區民生陸橋道路
新北市新莊區中正路
新北市永和區永福橋道路
新北市中和區中山路2段
新北市五股區成泰路3段
新北市中和區連城路
新北市中和區中正路
新北市三芝區北18線道路
新北市板橋區新海橋路
新北市貢寮區仁和路
新北市泰山區泰山路
新北市鶯歌區中正一路
新北市五股區疏洪東路
新北市三重區重新路1段
新北市土城區金城路1段
新北市萬里區臺2線道路
新北市三重區疏洪五路2段
新北市三峽區溪東路
新北市新莊區新泰路
新北市鶯歌區中正一路
新北市泰山區泰林路2段
新北市板橋區中山路2段
新北市貢寮區臺2線道路
新北市五股區臺64線道路
新北市三重區疏洪一路
新北市貢寮區仁和路
新北市八里區龍米路
新北市坪林區北宜路
新北市坪林區北宜路
新北市中和區中山路3段
新北市土城區國道三號
新北市三峽區中正路3段
新北市板橋區縣民大道3段
新北市平溪區前0公尺數二坑22號
新北市淡水區淡金路1段
新北市中和區員山路
新北市八里區中山路2段
新北市林口區文化北路2段
新北市新店區中央路
新北市汐止區新台五路2段
新北市鶯歌區國道三號54公里00公尺處南向中線
新北市新店區環河路
新北市金山區中山路
新北市板橋區大觀路3段
新北市板橋區大同街
新北市石碇區國道五號
新北市瑞芳區臺2線道路
新北市新莊區中港路
新北市五股區成泰路3段
新北市新莊區重新堤外道路
新北市三重區忠孝路1段
新北市中和區景新街前0公尺數四維街路
新北市樹林區八德街前0公尺數太平路
新北市中和區中山路2段
新北市板橋區浮洲橋道路
新北市石門區臺2線道路
新北市淡水區淡金路3段
新北市泰山區南泰路
新北市土城區中華路2段
新北市八里區中華路1段
新北市萬里區加投路
新北市金山區陽金公路
新北市汐止區國道3號
新北市土城區擺接堡路
新北市永和區環河東路2段
新北市新店區安坑交流道出口匝道
新北市樹林區三興街
新北市板橋區館前東路
新北市林口區臺15省道前0公尺數南下14公里
新北市土城區金城路2段
新北市五股區成泰路2段
新北市永和區仁愛路
新北市汐止區新台五路2段
新北市新莊區新北大道
新北市樹林區柑園橋路
新北市三峽區大埔路
新北市林口區仁愛一路
新北市汐止區大同路1段
新北市三峽區中正路1段
新北市三峽區前0公尺數台七乙1.1K處
新北市中和區國道三號
新北市五股區國道一號
新北市泰山區泰林路1段
新北市石碇區靜安路一段
新北市瑞芳區魚桀魚坑路
新北市五股區成泰路3段
新北市新店區安一路
新北市中和區臺64線道路
新北市八里區龍米路2段
新北市板橋區中山路2段
新北市汐止區大同路1段
新北市中和區中正路
新北市土城區國道三號
新北市汐止區明峰街
新北市三重區三和路4段
新北市瑞芳區明燈路1段
新北市板橋區臺65線道路
新北市樹林區大安路
新北市淡水區中正路1段
新北市板橋區民權路
新北市新莊區大漢橋路
新北市樹林區中山路2段
新北市板橋區中山路2段
新北市瑞芳區臺2線道路
新北市土城區學府路1段
新北市泰山區新北大道
新北市板橋區板城路
新北市土城區金城路3段
新北市泰山區楓江路
新北市八里區中山路3段
新北市五股區新五路2段
新北市鶯歌區堤外道路
新北市泰山區泰林路2段
新北市汐止區大同路2段
新北市土城區擺接堡路
新北市金山區環金路
新北市永和區中山路1段
新北市新店區中正路
新北市永和區福和路
新北市泰山區泰林路3段
新北市三重區力行路2段
新北市樹林區樹新路
新北市汐止區國道三號8公里800公尺處南向中線
新北市中和區中正路
新北市板橋區環河西路
新北市石碇區北宜公路
新北市淡水區關渡橋道路
新北市鶯歌區尖山路
新北市石碇區北宜公路
新北市土城區南天母路
新北市八里區龍米路1段
新北市五股區疏洪十路
新北市土城區中央路4段
新北市石碇區106線道路
新北市鶯歌區大湖路
新北市瑞芳區前0公尺數逢甲路
新北市五股區壟鉤路
新北市板橋區中山路2段
新北市樹林區新興街
新北市板橋區民生路3段
新北市三重區三民街
新北市五股區疏洪一路
新北市林口區中山路
新北市三重區環河北路
新北市五股區中興路3段
新北市石門區臺2線道路
新北市泰山區國道一號
新北市石碇區北宜公路
新北市板橋區僑中二街
新北市新店區中興路3段
新北市板橋區大觀路1段
新北市林口區國道一號
新北市貢寮區臺2線道路
新北市金山區永興里臺2線道路
新北市板橋區萬板大橋路
新北市石碇區北宜公路
新北市五股區國道一號
新北市土城區中華路
新北市土城區金城路2段
新北市永和區環河東路1段
新北市中和區景平路
新北市土城區學府路1段
新北市新店區國道三號
新北市板橋區館前西路
新北市中和區連城路
新北市五股區新五路2段
新北市三重區重新橋機車道路
新北市五股區疏洪一路
新北市新莊區中正路
新北市三芝區前0公尺數台二線
新北市平溪區前0公尺數106線
新北市金山區前0公尺數台二甲線
新北市永和區環河西路1段
新北市三峽區成福路
新北市汐止區新台五路1段
新北市五股區國道一號
新北市蘆洲區永安南路1段
新北市中和區華中橋道路
新北市三重區車路
新北市淡水區淡金路
新北市五股區民義路2段
新北市五股區成泰路1段
新北市蘆洲區中正路
新北市萬里區臺2線道路
新北市林口區中山路
新北市中和區國道三號
新北市三重區光復路2段
新北市五股區疏洪一路
新北市八里區商港路
新北市板橋區文聖街149巷
新北市中和區和平街
新北市八里區龍米路2段
新北市蘆洲區環堤大道路
新北市板橋區縣民大道2段
新北市鶯歌區中正二路
新北市新莊區新樹路
新北市平溪區106線道路
新北市鶯歌區鶯桃路2段
新北市三重區重新橋機車道路
新北市萬里區前0公尺數台二線
新北市新店區前0公尺數中興交流道口
新北市樹林區八德街前0公尺數八德街高架橋路
新北市萬里區台二線道路
新北市泰山區大科路
新北市五股區成蘆橋道路
新北市樹林區八德街
新北市八里區龍米路1段
新北市泰山區大科路
新北市三峽區中正路3段
新北市蘆洲區中山一路
新北市樹林區中山路1段
新北市板橋區中山路
新北市中和區莒光路
新北市萬里區前0公尺數臺二線
新北市五股區成泰路3段
新北市三峽區中正路3段
新北市板橋區環河西路4段
新北市五股區中興路2段
新北市三峽區介壽路
新北市板橋區三民路2段
新北市中和區中正路
新北市中和區環河西路
新北市三峽區弘道路
新北市汐止區大同路2段
新北市板橋區臺65線道路
新北市八里區中山路3段
新北市坪林區無名路
新北市樹林區三俊街
新北市三重區仁美街
新北市板橋區三民路2段
新北市石門區台二線道路
新北市土城區國道3號
新北市三重區重新路2段
新北市蘆洲區永樂街38巷
新北市新莊區中正路
新北市板橋區板城路
新北市土城區金城路3段
新北市汐止區福德一路
新北市萬里區臺二線道路
新北市板橋區中正路
新北市鶯歌區鶯桃路
新北市板橋區篤行路2段
新北市金山區台二線道路
新北市樹林區環漢路5段
新北市坪林區北宜路
新北市坪林區北宜路
新北市中和區民安街51巷
新北市樹林區佳園路2段
新北市新店區北宜路
新北市中和區中和路
新北市板橋區實踐路
新北市汐止區同興路
新北市土城區延和里金城路3段
新北市林口區文化一路2段
新北市林口區106縣道前0.0公尺
新北市泰山區國道1號
新北市五股區疏洪一路
新北市板橋區環河西路5段
新北市五股區成泰路1段
新北市板橋區環河西路5段
新北市新莊區中平路
新北市瑞芳區臺62甲線道路
新北市土城區擺接堡路
新北市土城區中央路2段
新北市新莊區中和街60巷
新北市新莊區中正路
新北市雙溪區臺2丙線道路
新北市新店區祥和路
新北市板橋區富山街
新北市泰山區國道1號
新北市三峽區中正路3段
新北市板橋區大觀路1段
新北市萬里區台2線
新北市淡水區淡金路4段
新北市中和區新北環快道路
新北市三峽區介壽路
新北市新莊區重新堤外道路
新北市五股區疏洪一路
新北市土城區中央路4段
新北市三重區自強路
新北市石碇區台9線
新北市中和區員山路
新北市樹林區三興路
新北市五股區成泰路1段
新北市瑞芳區魚桀魚坑路
新北市樹林區中正路
新北市新店區北宜路
新北市三峽區復興路
新北市瑞芳區明燈路2段
新北市五股區民義路
新北市板橋區LP-R03-C004號
新北市土城區擺接堡路
新北市板橋區大漢橋路
新北市板橋區臺65線道路
新北市新店區祥和路
新北市金山區臺2甲線道路
新北市坪林區北宜公路
新北市五股區疏洪一路
新北市三重區重新路5段
新北市八里區中華路
新北市八里區龍米路1段
新北市新莊區思源路
新北市新莊區思源路
新北市泰山區新五路1段
新北市中和區中山路
新北市萬里區舊臺二線道路
新北市五股區疏洪一路
新北市中和區民樂路
新北市汐止區大同路1段
新北市石門區台二線道路
新北市板橋區大仁街
新北市三芝區臺2線道路
新北市三峽區國道3號51公里600.0公尺處北側向路
新北市中和區中正路
新北市新莊區光明路
新北市林口區文化二路
新北市三重區重陽橋機車道路
新北市板橋區民生路1段
新北市三重區中正北路
新北市板橋區華東街
新北市淡水區中山北路
新北市瑞芳區臺2線道路
新北市新店區安康路2段
新北市板橋區漢生東路
新北市板橋區縣民大道
新北市石碇區北宜公路
新北市三峽區介壽路1段
新北市樹林區大安路
新北市三芝區田心子
新北市三峽區成福路
新北市樹林區日新街
新北市八里區中華路2段
新北市新店區明德路
新北市新店區新烏路1段
新北市三重區中興橋機車道路
新北市土城區石門路
新北市汐止區汐萬路3段
新北市三重區中興北街
新北市林口區忠孝路
新北市三峽區介壽路1段
新北市板橋區文新路
新北市永和區中正橋道路
新北市土城區擺接堡路
新北市三重區疏洪十二路
新北市新莊區壽山路
新北市板橋區縣民大道
新北市八里區龍米路2段
新北市淡水區學府路
新北市泰山區新五路1段
新北市永和區福和橋道路
新北市新店區寶慶街
新北市樹林區中正路
新北市三重區河邊北街
新北市板橋區國慶路
新北市瑞芳區臺2線道路
新北市鶯歌區中正一路
新北市五股區疏洪六路
新北市雙溪區梅竹蹊路
新北市汐止區國道1號
新北市樹林區保安街
新北市永和區中正橋道路
新北市板橋區大漢橋路
新北市五股區疏洪一路
新北市樹林區三興街
新北市新莊區中正路
新北市樹林區環漢路5段
新北市淡水區中山北路1段
新北市永和區環河西路2段
新北市泰山區新北大道
新北市板橋區華江一路
新北市板橋區文化路1段
新北市三重區重新堤外道路
新北市新莊區壽山路
新北市五股區9號越堤道
新北市五股區疏洪六路
新北市新莊區大漢橋路
新北市中和區興南路2段
新北市土城區裕民路
新北市淡水區中山北路1段
新北市新莊區思源路
新北市汐止區大同路2段
新北市三重區重新路5段
新北市新莊區中正路
新北市石碇區碇坪路1段
新北市板橋區浮洲橋機車專用道前0.0公尺
新北市坪林區北宜公路
新北市蘆洲區三民路
新北市金山區臺2甲線道路
新北市三重區中山橋機車道路
新北市新店區長興路
新北市土城區中央路4段
新北市新莊區重新堤外道路
新北市林口區中山路
新北市三重區新北大道
新北市瑞芳區逢甲路
新北市淡水區坪頂路
新北市貢寮區臺2線道路
新北市樹林區中山路3段
新北市新莊區思源路
新北市五股區成泰路3段
新北市三峽區中華路
新北市三峽區中正路1段
新北市三芝區淡金公路
新北市三峽區成福路
新北市樹林區環漢路5段
新北市土城區擺接堡路
新北市八里區關渡橋道路
新北市泰山區泰林路3段
新北市新店區新烏路3段
新北市三重區環河北路
新北市三重區車路
新北市淡水區淡金路4段
新北市瑞芳區四腳亭埔路
新北市泰山區泰林路
新北市板橋區民生路2段
新北市三峽區復興路
新北市新店區國道3號
新北市土城區中央路4段
新北市板橋區板林路
新北市蘆洲區長榮路
新北市淡水區民權路
新北市板橋區光環路1段
新北市板橋區環河西路5段
新北市三重區重新路4段
新北市蘆洲區捷運機廠門口附近
新北市鶯歌區堤外道路
新北市板橋區華江三路
新北市新莊區中正路
新北市八里區龍米路2段
新北市新莊區重新堤外道路
新北市新莊區環漢路
新北市坪林區北宜公路
新北市中和區南山路
新北市貢寮區臺2丙線道路
新北市新店區安康路2段
新北市樹林區八德街
新北市泰山區大科一路
新北市三重區中正北路
新北市三芝區北101線
新北市五股區疏洪一路
新北市新店區祥和路
新北市永和區福和橋往永和道路
新北市新莊區臺65線道路
新北市板橋區臺65線道路
新北市三重區環河北路
新北市泰山區新北大道
新北市泰山區新五路
新北市新莊區中正路
新北市中和區新北環快道路
新北市新莊區中正路
新北市樹林區保安地下道路
新北市林口區下福產業道路
新北市新莊區中正路
新北市三芝區北101線
新北市烏來區新烏路5段
新北市三重區光復路1段
新北市三重區重陽橋機車道路
新北市蘆洲區三民路
新北市三重區重新堤外道路
新北市蘆洲區中正路
新北市淡水區淡金路2段
新北市永和區得和路
新北市坪林區北宜公路
新北市新莊區思源路
新北市汐止區大同路1段
新北市汐止區大同路1段
新北市土城區福田路
新北市板橋區環河西路4段
新北市新店區北新路1段
新北市三峽區愛國路
新北市三峽區弘道路
新北市石碇區靜安路一段
新北市新莊區中正路
新北市樹林區中山路2段
新北市三重區重新路5段
新北市鶯歌區文化路
新北市新店區中央路
新北市泰山區國道1號37公里600.0公尺處南側向中線
新北市中和區連城路
新北市新莊區龍安路
新北市瑞芳區臺2丁線道路
新北市八里區荖阡坑路
新北市萬里區台2線
新北市蘆洲區環堤大道路
新北市蘆洲區三民路
新北市貢寮區下雙溪街
新北市林口區仁愛路2段
新北市八里區關渡橋道路
新北市泰山區大科一路
新北市板橋區環河西路4段
新北市新莊區重新堤外道路
新北市三重區中興橋快車道路
新北市金山區金包里街
新北市中和區景平路
新北市中和區民德路
新北市八里區龍米路2段
新北市汐止區汐萬路3段
新北市汐止區汐萬路3段
新北市泰山區國道1號
新北市新莊區新北大道
新北市樹林區大安路
新北市貢寮區臺2線道路
新北市土城區臺65線道路
新北市三峽區中正路3段
新北市蘆洲區三民路
新北市八里區中華路2段
新北市三重區成功路
新北市板橋區縣民大道
新北市五股區疏洪一路
新北市永和區林森路
新北市萬里區台2線
新北市土城區國道3號44公里200.0公尺處南側向路
新北市板橋區中山路
新北市新莊區捷運新莊站2號
新北市新店區中正路
新北市新莊區中正路
新北市樹林區環漢路5段
新北市金山區臺2線道路
新北市永和區福和橋往永和道路
新北市板橋區堤外機車專用道路
新北市瑞芳區臺2線道路
新北市五股區四維路
新北市新店區行人穿越道
新北市新店區中興路
新北市五股區疏洪一路
新北市三重區重新橋機車道路
新北市八里區中山路1段
新北市三峽區正義街139巷
新北市板橋區長江路1段
新北市板橋區民生路3段
新北市三重區環河南路
新北市淡水區民權路
新北市中和區中和路
新北市金山區臺2甲線道路
新北市新店區安業街-127351路
新北市八里區臺64線道路
新北市三峽區大埔路
新北市樹林區中山路2段
新北市鶯歌區福德一路
新北市三重區中正南路
新北市樹林區柑園二橋道路
新北市新莊區中華路2段
新北市中和區中正路
新北市中和區圓通路
新北市新莊區中正路
新北市新莊區新北大道
新北市淡水區中山北路2段
新北市新店區寶橋路
新北市汐止區大同路2段
新北市淡水區臺2線道路
新北市深坑區北深路3段
新北市板橋區環河西路4段
新北市三重區中興橋快車道路
新北市八里區龍米路2段
新北市泰山區泰林路2段
新北市深坑區北深路1段
新北市淡水區淡金路2段
新北市汐止區新台五路2段
新北市中和區景平里景平路
新北市新莊區福營路
新北市中和區圓通路
新北市三峽區茅埔路
新北市金山區臺2甲線道路
新北市烏來區新烏路5段
新北市泰山區大科路
新北市新店區建國路
新北市新莊區中正路
新北市瑞芳區中山路
新北市新莊區重新堤外道路
新北市板橋區文化路2段
新北市樹林區山線
新北市永和區中正路
新北市中和區景平路
